epoch,train_r2,test_r2
1,0.4463375210762024,0.6182499527931213
2,0.6469334363937378,0.6433539390563965
3,0.7004297971725464,0.5864870548248291
4,0.7317201495170593,0.5357656478881836
5,0.7581164240837097,0.6647454500198364
6,0.7777445316314697,0.6688215732574463
7,0.7977888584136963,0.7007485628128052
8,0.8075438737869263,0.6947793960571289
9,0.8227876424789429,0.6711831092834473
10,0.8344915509223938,0.6855788826942444
11,0.8418713808059692,0.6708763837814331
12,0.8444799184799194,0.6910229921340942
13,0.8565569519996643,0.6788932085037231
14,0.8646023273468018,0.6858364343643188
15,0.8684285879135132,0.682223916053772
