epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.6550345420837402,0.6428039073944092,0.6671481132507324,0.7193190455436707
2,0.7411566972732544,0.731522798538208,0.7542336583137512,0.7551118731498718
3,0.7803159356117249,0.7738010287284851,0.7848164439201355,0.7616258859634399
4,0.8086836934089661,0.8042566180229187,0.7821621894836426,0.776606023311615
5,0.8309808969497681,0.8296036124229431,0.7882544994354248,0.7422566413879395
6,0.8503221273422241,0.8466739058494568,0.7988483905792236,0.7766003608703613
7,0.8665173649787903,0.8640166521072388,0.7861621975898743,0.7811024188995361
8,0.8796698451042175,0.8757126331329346,0.7952624559402466,0.7760087251663208
9,0.8913208246231079,0.8871873617172241,0.8033403158187866,0.7946631908416748
10,0.8998164534568787,0.8962273597717285,0.798890233039856,0.7847172021865845
11,0.9072358012199402,0.9036716818809509,0.8005143404006958,0.7856931686401367
12,0.9129234552383423,0.9096765518188477,0.7957744598388672,0.789248526096344
13,0.9183549880981445,0.9167779088020325,0.8076406717300415,0.7814021110534668
14,0.9227533936500549,0.9210420250892639,0.795778751373291,0.7896637320518494
15,0.9268046617507935,0.9254716634750366,0.8057596683502197,0.7928500771522522
